well_name,trial,look_back,n_nodes,learning_rate,test_rmse
well_3,18,24,8,0.0011522750686783505,369.4583799687661
well_3,19,36,4,0.0011106924373966993,293.6317451562122
well_3,20,12,16,0.0447612303573747,331.1623685664434
well_3,21,12,16,0.006224463194768752,762.7138692678549
well_3,22,12,16,0.0023378622103634853,250.27841932407347
well_3,23,12,16,0.0021596763627087677,357.1420060840514
well_3,24,12,16,0.0015103655466010828,332.09703867908524
well_3,25,12,16,0.003037091523842014,390.87116330056904
well_3,26,12,16,0.019818144205114307,705.9590701114117
well_3,27,12,16,0.0017613999208645208,366.988450442501
well_3,28,24,4,0.0037362983053406866,353.65179912005027
well_3,29,36,8,0.10696174089531438,547.1091635076325
well_4,0,12,4,0.018148198833700196,323.1222172592024
well_4,1,24,4,0.0717000752896468,183.18098093966216
well_4,2,36,4,0.0025363273024129884,147.68883644060168
well_4,3,36,4,0.002277299602107562,147.3150607950085
well_4,4,36,16,0.003241170484674245,161.98195525144016
well_4,5,36,8,0.004405504043638944,130.8737508673167
well_4,6,36,4,0.014931587660591019,173.7005379353634
well_4,7,36,4,0.0011764225207756356,157.01524627133148
well_4,8,24,8,0.17980355086189398,648084.2788511346
well_4,9,36,16,0.055408937260653046,181.34105538275256
well_4,10,12,8,0.0065088038793717174,163.0196494608519
well_4,11,36,8,0.0010272087130611788,335.7048891468606
well_4,12,36,8,0.006149823907189965,165.52069016426074
well_4,13,36,8,0.003283866499728856,681.9105329407945
well_4,14,12,16,0.008307503204815629,194.82322232496298
well_4,15,24,4,0.0018976704152032253,152.01487528167303
well_4,16,36,8,0.04734343575000298,272.17564514232123
well_4,17,36,4,0.35690014869757575,199.26970282967096
well_4,18,12,8,0.010727832486039044,265.5230923594464
well_4,19,24,16,0.0045440393784219315,194.03055194401225
well_4,20,36,4,0.0017581306631044011,175.77383604623054
well_4,21,36,4,0.0029475846969392186,137.9021648210127
well_4,22,36,4,0.033457226348317395,205.7010639444434
well_4,23,36,4,0.0042331185321578405,155.4636009786341
well_4,24,36,4,0.0019650571736482127,177.02878619521084
well_4,25,36,8,0.010414264947433036,197.66134327148532
well_4,26,36,4,0.0014921665411946096,143.80094691287772
well_4,27,36,4,0.00133066916018588,187.85153592411527
well_4,28,12,16,0.004879759432140592,213.59541114992473
well_4,29,24,8,0.0030073645499989012,164.96485839562666
well_5,0,12,8,0.001012605221440411,282.8043528315602
well_5,1,24,16,0.007352166848110602,349.9956949743711
well_5,2,12,4,0.27308944280508546,363.9911334241887
well_5,3,12,16,0.1769432509855468,368.6799416231473
well_5,4,12,8,0.002391003676909311,300.5076639266959
well_5,5,24,16,0.35827770088935235,261.13269665210066
well_5,6,36,16,0.0024524112663061506,367.9211363710816
well_5,7,24,8,0.004822699587305388,272.271075901267
well_5,8,36,16,0.06908494125102821,345.82932440714046
well_5,9,36,16,0.053895558013264344,276.25283568993405
well_5,10,24,4,0.027315861830760842,291.49547586644
well_5,11,24,8,0.010770570177729078,313.0146982544303
well_5,12,24,8,0.006727771524325122,287.54124375812034
well_5,13,24,8,0.4465485239309046,368.6799460316505
well_5,14,24,4,0.09508657991892921,350.2239545580936
well_5,15,24,16,0.023430380036832,297.7157144723872
well_5,16,24,8,0.004001084883128354,327.50412562481387
well_5,17,24,16,0.014797191674056385,337.0707053122605
well_5,18,24,8,0.04041362655606795,239.02107401458724
well_5,19,36,4,0.14181571095993503,297.30422683762436
well_5,20,24,16,0.034176108014815486,345.0539955134466
well_5,21,24,8,0.4916871458817965,368.6799517741076
well_5,22,24,8,0.04705970834584299,253.31554848172956
well_5,23,24,8,0.04439629477029928,275.84393675812737
well_5,24,24,8,0.11898500865468001,342.47872649117903
well_5,25,24,8,0.257208653213321,405.68503600235016
well_5,26,24,8,0.017624500108208138,330.8503111016335
well_5,27,24,8,0.0646097886709977,290.95099733507124
well_5,28,12,4,0.25301113303068956,345.8684908790367
well_5,29,36,16,0.08509151658310658,316.6998022783671
